@relation training_tutorial1-weka.filters.unsupervised.attribute.Remove-R24

@attribute pmPositionX numeric
@attribute pmPositionY numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalWest {True,False}
@attribute legalEast {True,False}
@attribute g0PositionX numeric
@attribute g0PositionY numeric
@attribute g0Distance numeric
@attribute g0Direction {Stop,North,South,West,East}
@attribute g1PositionX numeric
@attribute g1PositionY numeric
@attribute g1Distance numeric
@attribute g1Direction {Stop,North,South,West,East}
@attribute g2PositionX numeric
@attribute g2PositionY numeric
@attribute g2Distance numeric
@attribute g2Direction {Stop,North,South,West,East}
@attribute g3PositionX numeric
@attribute g3PositionY numeric
@attribute g3Distance numeric
@attribute g3Direction {Stop,North,South,West,East}
@attribute scoreCurrent numeric
@attribute pmDirection {North,South,West,East}

@data
14,7,True,True,True,True,6,5,10,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,14,6,1,Stop,379,East
14,6,True,True,False,False,6,5,9,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,578,South
14,5,True,True,True,True,6,5,8,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,577,South
13,5,False,True,True,True,6,5,7,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,576,West
12,5,False,False,True,True,6,5,6,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,575,West
11,5,False,True,True,True,6,5,5,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,574,West
10,5,True,True,True,True,6,5,4,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,573,West
9,5,True,True,True,True,6,5,3,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,572,West
8,5,True,True,True,True,6,5,2,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,571,West
7,5,False,True,True,True,6,5,1,Stop,1000000,1000000,1000000,?,1000000,1000000,1000000,?,1000000,1000000,1000000,?,570,West
1,10,True,True,False,False,6,5,10,Stop,6,9,6,Stop,8,11,8,Stop,14,6,17,Stop,-1,South
1,9,True,True,False,True,6,5,9,Stop,6,9,5,Stop,8,11,9,Stop,14,6,16,Stop,-2,South
2,9,False,True,True,True,6,5,10,Stop,6,9,4,Stop,8,11,8,Stop,14,6,15,Stop,-3,East
3,9,False,True,True,True,6,5,11,Stop,6,9,3,Stop,8,11,7,Stop,14,6,14,Stop,-4,East
4,9,False,True,True,True,6,5,10,Stop,6,9,2,Stop,8,11,6,Stop,14,6,13,Stop,-5,East
